gene 2h 6h 16h 24h 48h 72h
MCM7 120.93295829 117.040899075 69.5064444046 71.7734801567 49.7314204599 21.8730237807
MCM3 83.3523241388 54.3509335577 15.9700866764 65.6895361741 38.3983309718 19.2752569191
HMG2 47.6028608586 80.898751331 48.33996146 68.5183147025 28.6298352797 11.8837061572
TXNIP 966.056616631 1720.81171211 561.864131532 1690.58912902 229.183745369 114.047774221
ID2 147.355812277 213.034292165 65.0325556929 196.568452575 72.5582629917 45.679800783
DKFZp434K1210 22.2721728048 18.5962218718 15.7972795571 48.6422451833 21.5704973926 12.1342647482
SPRY2 65.8539352657 85.8879191087 17.7849764973 49.9600132958 76.2170409941 53.2104059792
RAB6KIFL 73.6538071036 51.3558241224 32.2238309491 46.1123407928 27.9076606854 13.632136342
RAB6KIFL 74.3698972489 51.4803209476 34.4138633904 45.6482559068 29.118809351 14.8787522036
NMI 96.8340314545 97.5076714517 126.4001595 241.10139528 152.733273527 127.608591618
NMI 95.9666240825 99.1554442731 129.818417789 238.494249528 134.457929688 134.586040421
SFRS2 103.792884326 171.301140177 57.5798874095 44.975638311 48.9032254672 33.677364395
I_961971 107.696232988 109.494193012 158.053441803 248.521873794 123.251997669 155.446507797
I_1000547 82.416530804 291.164046751 126.623431298 114.990378123 65.4708470279 50.5895054531
H2BFG 102.694853532 87.5431033099 97.7804259416 44.7678520538 98.8423250205 190.999826004
I_958102 117.200982177 49.575441819 28.5009381977 24.7456518278 24.9288154569 24.4856688615
GSS 120.586008987 106.926086512 114.919098214 152.051560735 209.230505393 278.412738349
I_929725 50.3304436503 70.4858318073 66.9485212519 160.909942632 113.724490485 86.5808662476
TIMP4 165.726753313 123.518107292 150.87023736 209.428640193 549.741734891 788.756676519
MGC2217 81.7429772843 391.06269871 322.587332225 276.333658376 113.49608931 76.0714715305
PRSS11 75.908324298 90.1035323142 86.4344079358 76.1709130867 32.8918853871 17.2917875936
MSN 149.598048142 71.8390305246 47.1000315388 38.4629947981 66.0308880037 59.0839604263
CYR61 967.472310999 142.758210384 83.7243542004 97.2197237618 183.138396759 142.957771184
PTD002 55.1296196064 99.4087520593 34.3349262052 22.1082308315 22.0500604801 8.94884705693
CDKN3 57.2891326963 82.7322922883 30.7456876877 32.0912195067 18.8181079112 10.1789964793
TRA1 67.2115746439 100.790475817 155.011892909 127.501598818 57.2335486044 47.8747272198
FLJ21016 92.3317568489 24.0326742291 54.3270892452 130.034497429 140.785175986 110.895049412
RFC4 74.3640094711 78.4846794354 59.1306497425 93.3417758306 47.0858671115 35.399210311
EGR1 1694.72496982 185.134144163 102.090241789 216.265953147 77.0684899637 52.0139001689
RNASE3L 129.800508484 68.8524894069 38.6702054121 65.0257628787 65.565448512 55.4581373466
MGC16386 97.626285076 191.14270348 114.203714783 97.2239754718 57.1266097486 17.5868116084
H2AFA 137.184417784 165.248035294 183.792723333 151.119396563 195.315580378 555.899571105
p100 147.819590886 77.5657407282 61.6345024883 17.1794536265 20.5324062938 13.4528565489
GPR30 101.865950652 199.928728337 172.967381202 132.622064738 73.3080718314 76.9148161322
ESDN 91.560975582 61.8224535613 37.7543441302 14.3913076798 15.4265360867 14.1252067945
NFIB 107.955154358 41.3143585027 20.7549751254 32.1404668086 45.6736034904 28.954124939
KIAA1695 120.392757658 29.4894209042 15.4294481235 14.7312169515 29.0604325694 12.3892919183
SEC24D 69.5615583482 14.0544891016 21.0358218052 57.3352313996 48.0458379938 37.8863006741
TRIM33 96.108915815 38.7745466082 45.467505712 97.1451121068 87.3707329287 80.9280282592
I_1109594 124.198535072 65.1477279371 18.3363729868 27.661192579 57.1880164081 36.7014657148
RAB6KIFL 72.7810538864 50.2135831887 30.7538874247 46.5656161724 30.8026387978 14.3711172567
HIF1A 82.7722582118 30.9073688363 17.6638213481 49.7080155473 76.6711904812 55.0685017997
TPARL 41.4904708305 43.0088656467 26.3181848541 83.0481276162 56.5958956374 48.1125581225
CKS1 65.9598881284 107.754911555 63.9747068695 50.1704739111 35.6433444793 22.8757141298
I_929737 109.633312401 84.702016306 37.5827892209 37.1635418601 48.1295679942 45.492688664
TMSNB 45.1781911751 125.856790847 87.7644003612 96.1270417147 52.3875320467 31.2559403184
NMI 93.2439913438 93.4652592222 124.805813412 248.28643762 142.511139784 124.31252033
I_960223 76.743773113 62.7366281881 32.1716894244 49.6605411591 27.2421112889 10.3611817654
PTPRK 117.510516069 47.7859408838 15.9454978809 17.6967101529 27.1449106834 15.433519527
FLJ20373 92.6290475888 56.1115468565 19.3202091072 29.7584282543 33.9238052522 22.4510580577
CCNE1 102.658932866 307.951361168 128.576889682 138.156939475 114.846521526 71.6493769381
HIF1A 88.3721166222 32.4801368451 17.0055336968 51.2374044654 76.4502921035 59.8678045357
GADD45A 204.593276086 686.10908319 842.634020246 469.981301693 560.255353336 308.786357017
TUBB5 138.804830834 106.107694835 66.7288795612 39.5329580271 38.8573739648 46.2282917015
HIF1A 82.3499386917 30.7618575295 17.6230948125 51.1286952301 75.1347195815 62.03963609
HIF1A 88.963709675 32.4227821328 17.2499271474 50.5973096016 75.8654768519 56.6621910513
HNRPD 110.30294544 45.81381237 21.345119713 78.6212028348 71.4186584864 45.7887556773
PLAU 132.959709858 109.250926915 41.6187485531 34.7066408986 74.9476252732 49.056182317
HNRPDL 83.9689215097 34.0017322784 18.0701272773 94.6422221556 52.4065203771 40.05290542
I_959634 138.533652755 243.994607114 120.127197448 109.326641945 57.9264354721 38.467877315
LOC57018 32.4495434628 82.2337586717 68.6608799528 108.852144999 99.7179242638 69.7529196864
SMAP 54.1033118426 79.0593742788 88.4540491125 150.52620838 100.415800272 80.1430571939
CTSL2 72.1989812753 127.824641871 115.628858682 146.865795329 85.6219180866 61.7853102742
C6ORF37 76.7093917005 194.403604275 157.864615266 323.489055318 310.847341418 371.752583412
GFPT2 127.880481914 68.9171193942 22.1482046854 26.5716389734 27.8583475602 15.2631791831
RAB6KIFL 75.7000162491 54.1053001742 32.6052243325 46.402078953 28.598609298 14.2711805062
SF3B3 144.995592538 50.7484955134 31.3828116022 79.3651306759 114.19662868 79.3283506106
NMI 95.1744998212 92.3560474046 126.742019267 241.247994621 152.844128794 121.664970889
NMI 97.2254790334 102.970228055 124.872882232 232.03698826 147.126843668 127.180004942
NMI 97.4246099816 96.2638724818 125.105894652 230.596110974 149.044883758 114.920075436
NFIL3 43.3899106674 91.7784620159 77.8910427996 161.228287065 127.051708602 103.734015575
