gene;2h;6h;16h;24h;48h;72h;;;;;;;;;
SSI-3;220,16;73,17;47,98;51,81;47,31;41,03;;;;;;;;;
C21orf59;105,16;139,36;111,45;179,19;141,49;133,99;;;;;;;;;
ECH1;135,02;111,41;134,93;165,63;266,98;304,05;;;;;;;;;
NRP1;94,16;53,11;48,23;28,55;40,52;53,22;;;;;;;;;
TOR1B;106,75;202,81;157,57;162,48;83,29;73,14;;;;;;;;;
I_932099;114,33;77,36;25,52;54,36;103,67;64,34;;;;;;;;;
B2M;26,03;122,40;84,31;151,02;99,40;70,36;;;;;;;;;
RBM3;69,10;109,37;85,12;54,96;27,92;26,73;;;;;;;;;
KNSL6;66,06;53,87;46,98;60,84;40,54;18,22;;;;;;;;;
CALR;121,01;107,93;186,06;133,43;121,63;98,93;;;;;;;;;
NMT2;111,41;85,58;45,54;76,25;100,26;94,61;;;;;;;;;
MAD2L1;60,54;86,23;35,39;54,44;30,51;15,98;;;;;;;;;
FLJ13391;63,11;31,54;27,04;56,07;94,40;77,98;;;;;;;;;
TFPI;77,47;71,20;48,19;22,65;27,12;22,96;;;;;;;;;
I_929692;89,89;56,67;19,05;20,31;41,02;15,95;;;;;;;;;
CHIC2;67,77;47,35;48,77;75,76;87,64;78,92;;;;;;;;;
SAT;160,39;744,08;691,10;423,30;412,63;438,74;;;;;;;;;
GART;130,80;86,09;48,48;78,01;116,26;97,84;;;;;;;;;
SMT3H1;91,31;128,95;83,77;75,10;52,07;43,97;;;;;;;;;
HSBP1;73,76;198,64;140,17;159,02;78,86;71,77;;;;;;;;;
FE65L2;80,27;81,96;97,06;131,31;138,16;116,04;;;;;;;;;
TAF7;54,37;183,31;170,88;176,23;121,46;76,04;;;;;;;;;
TMSNB;43,04;128,34;90,07;98,42;53,12;34,69;;;;;;;;;
FJX1;118,64;73,51;29,48;38,40;57,00;27,42;;;;;;;;;
FLJ22774;80,42;96,58;99,58;212,15;97,94;118,95;;;;;;;;;
I_964413;158,45;102,86;68,98;56,01;69,17;80,82;;;;;;;;;
PDE4DIP;82,48;97,57;52,68;50,29;42,86;34,82;;;;;;;;;
FER1L3;107,42;75,29;37,48;29,15;43,17;26,85;;;;;;;;;
FLJ22344;135,21;100,72;26,36;26,38;35,48;19,17;;;;;;;;;
PAFAH1B1;113,63;46,55;53,72;84,78;91,32;74,15;;;;;;;;;
NT5E;72,75;102,34;75,48;20,54;22,93;28,39;;;;;;;;;
RNASEHI;119,62;120,65;90,34;76,53;56,13;45,16;;;;;;;;;
I_957301;45,37;121,98;64,33;91,85;56,54;32,06;;;;;;;;;
FLJ13433;60,49;100,79;78,75;165,27;105,45;86,35;;;;;;;;;
MGC2745;69,65;75,50;42,46;25,68;39,49;36,30;;;;;;;;;
SFRS7;82,87;121,69;66,65;63,84;51,32;34,20;;;;;;;;;
ITPR2;77,44;61,90;34,65;27,00;50,46;26,53;;;;;;;;;
USP1;55,99;88,20;52,90;96,99;52,16;26,54;;;;;;;;;
KATNA1;56,77;61,74;67,30;135,99;93,26;69,60;;;;;;;;;
FLJ23221;73,96;118,87;119,42;164,62;84,91;82,88;;;;;;;;;
UBE1C;53,27;84,83;44,48;114,64;80,02;71,10;;;;;;;;;
C1orf8;49,35;101,65;76,53;146,75;154,64;145,28;;;;;;;;;
ITGA3;150,43;79,64;76,36;48,75;65,44;68,36;;;;;;;;;
MYO10;83,91;22,76;22,02;39,73;35,61;26,21;;;;;;;;;
MGC11308;140,54;179,52;253,51;176,72;131,13;118,94;;;;;;;;;
CHD1;32,84;32,05;43,86;88,27;73,43;45,22;;;;;;;;;
KHDRBS1;86,16;59,42;24,19;56,25;88,90;44,16;;;;;;;;;
CAST;83,22;65,92;23,23;40,16;61,23;41,46;;;;;;;;;
NCOR1;102,02;34,03;27,27;54,68;61,48;54,31;;;;;;;;;
RAB14;85,94;56,55;64,17;144,27;135,41;107,61;;;;;;;;;
KIAA1085;80,99;24,68;46,00;101,69;103,25;84,15;;;;;;;;;
RAB6KIFL;73,17;51,40;36,12;47,02;31,13;16,83;;;;;;;;;
FLJ10352;42,43;23,94;21,95;69,54;55,54;26,39;;;;;;;;;
TMSNB;45,06;130,41;87,57;99,88;49,88;36,11;;;;;;;;;
LOC51185;67,11;52,00;64,02;150,39;95,49;117,66;;;;;;;;;
GGH;38,15;125,75;73,52;91,34;53,62;33,64;;;;;;;;;
IGFBP1;48,69;74,57;21,41;54,67;69,68;49,34;;;;;;;;;
GTF2F2;77,40;54,72;21,55;36,80;50,70;31,15;;;;;;;;;
HNRPU;116,73;73,57;65,80;82,11;73,72;59,26;;;;;;;;;
TRIM32;54,10;106,26;166,80;173,86;158,68;166,01;;;;;;;;;
GOLGA4;108,56;47,98;32,84;60,12;68,66;43,25;;;;;;;;;
KIF2;61,02;32,67;41,96;87,78;88,22;61,73;;;;;;;;;
MGC15912;144,64;171,63;115,73;78,65;115,43;99,37;;;;;;;;;
FLJ21901;80,38;78,13;63,05;155,09;109,20;113,48;;;;;;;;;
RBM7;54,14;98,55;102,09;178,78;117,46;113,39;;;;;;;;;
INSIG1;68,38;59,79;42,92;40,20;34,21;36,99;;;;;;;;;
EBP;96,86;116,73;103,90;90,39;61,32;61,05;;;;;;;;;
HIF1A;85,55;34,83;17,32;50,32;73,15;59,68;;;;;;;;;
I_963094;77,83;8,97;15,52;31,84;36,50;19,15;;;;;;;;;
I_1109334;88,22;296,88;172,96;120,58;144,45;93,66;;;;;;;;;
CCNB2;62,97;41,46;27,74;37,04;24,27;8,84;;;;;;;;;
GU2;64,68;59,22;60,87;130,92;98,84;81,51;;;;;;;;;
CORO2B;110,64;60,16;34,38;33,88;49,17;37,72;;;;;;;;;
STXBP3;46,95;42,06;53,53;159,39;106,75;85,45;;;;;;;;;
I_964430;86,36;31,45;18,21;37,26;49,42;31,39;;;;;;;;;
CNAP1;131,20;57,86;48,61;52,75;58,95;43,59;;;;;;;;;
FEN1;99,65;152,01;87,16;85,12;35,38;23,74;;;;;;;;;
I_1109307;125,60;442,42;348,65;432,32;116,22;92,91;;;;;;;;;
CPR8;70,99;109,89;124,78;296,58;151,98;98,61;;;;;;;;;
EMP1;83,06;57,26;19,43;33,63;47,99;28,34;;;;;;;;;
LOC51123;102,87;55,35;58,67;132,38;197,80;157,48;;;;;;;;;
SEC24B;63,07;28,30;47,24;101,42;98,61;73,02;;;;;;;;;
CLTC;113,34;55,70;28,32;55,22;76,29;66,76;;;;;;;;;
I_959242;80,19;29,13;47,43;31,40;66,90;44,50;;;;;;;;;
C20orf38;120,30;75,03;49,29;36,91;59,14;56,05;;;;;;;;;
H2BFD;199,71;151,48;97,50;59,47;161,06;235,43;;;;;;;;;
RANBP2L1;48,02;53,73;55,39;143,46;97,48;56,84;;;;;;;;;
COL13A1;55,29;70,06;26,70;14,90;13,79;9,85;;;;;;;;;
SMS;59,30;54,63;18,90;26,66;27,41;18,07;;;;;;;;;
USP6;65,66;16,40;26,95;56,81;75,79;43,09;;;;;;;;;
PALMD;76,67;20,85;18,47;40,92;45,80;40,78;;;;;;;;;
C21orf45;86,27;116,94;52,99;70,59;42,72;29,34;;;;;;;;;
ADSL;138,69;101,25;42,76;86,48;108,59;100,28;;;;;;;;;
LOC51092;109,85;107,51;205,04;327,60;239,63;229,44;;;;;;;;;
HSPC177;48,91;121,84;85,35;154,29;110,49;98,27;;;;;;;;;
LOXL2;78,75;59,15;48,92;37,53;19,79;13,01;;;;;;;;;
GOLGB1;94,65;72,28;77,36;135,06;101,35;109,89;;;;;;;;;
BAG1;80,57;132,63;155,80;181,12;189,01;141,39;;;;;;;;;
PTK2;83,46;30,67;18,32;25,58;35,27;20,53;;;;;;;;;
CPE;37,60;127,20;116,38;214,04;179,00;181,28;;;;;;;;;
SNRPA1;126,81;111,41;50,96;64,11;110,12;76,31;;;;;;;;;
E46L;88,50;78,22;30,48;41,53;45,79;37,78;;;;;;;;;
NBEA;73,43;32,60;36,59;32,09;67,51;32,79;;;;;;;;;
TBK1;61,18;51,16;65,94;148,84;103,96;87,90;;;;;;;;;
I_966001;83,06;118,05;110,99;137,87;82,65;63,35;;;;;;;;;
LIF;139,05;322,90;87,62;120,08;139,36;104,82;;;;;;;;;
NEU1;149,16;222,91;300,71;271,43;191,88;212,46;;;;;;;;;
HSPC150;57,64;89,37;39,71;68,74;42,22;22,09;;;;;;;;;
NR3C1;72,69;19,47;30,07;62,27;84,42;63,24;;;;;;;;;
HSPC132;115,05;318,10;366,71;223,55;324,50;292,99;;;;;;;;;
I_928785;91,45;437,60;194,79;137,88;85,69;104,66;;;;;;;;;
GCLC;85,03;71,34;80,02;198,60;138,92;108,97;;;;;;;;;
FKSG14;20,20;57,98;15,49;37,48;24,80;10,46;;;;;;;;;
ACYP1;31,49;134,64;56,73;79,40;47,93;32,10;;;;;;;;;
KRTAP1,5;133,30;198,00;47,54;55,83;102,57;68,06;;;;;;;;;
LMO2;52,64;54,97;38,98;113,04;57,19;49,18;;;;;;;;;
TMSNB;42,29;123,90;85,28;96,33;56,79;35,00;;;;;;;;;
CPR8;69,53;106,29;123,67;301,00;152,18;106,31;;;;;;;;;
CHAF1B;92,41;81,84;64,96;117,25;75,81;42,50;;;;;;;;;
RILP;112,34;123,91;153,59;181,01;204,37;228,12;;;;;;;;;
I_1152023;66,48;52,01;21,66;46,94;53,81;37,06;;;;;;;;;
I_1152011;66,28;20,08;27,45;41,01;40,59;34,77;;;;;;;;;
LIMK1;166,22;78,97;50,95;50,12;77,79;71,09;;;;;;;;;
ANLN;61,40;35,92;14,50;22,63;19,84;9,79;;;;;;;;;
P4HA2;63,86;49,68;52,22;109,32;65,55;48,33;;;;;;;;;
NMU;55,54;86,54;68,49;69,65;42,19;25,65;;;;;;;;;
FLJ20071;121,72;66,50;29,16;28,98;41,83;33,03;;;;;;;;;
TOPK;48,65;72,90;28,81;36,32;18,50;9,78;;;;;;;;;
CAPN7;64,26;37,57;45,87;131,60;114,63;76,33;;;;;;;;;
FARP1;117,71;95,25;74,68;41,56;47,40;40,38;;;;;;;;;
RCN2;54,78;131,40;90,64;105,45;71,66;56,31;;;;;;;;;
HERPUD1;422,37;140,70;145,15;201,10;107,07;106,45;;;;;;;;;
BCAS2;91,08;135,46;118,41;166,30;132,89;103,65;;;;;;;;;
LOC51580;58,34;20,81;14,63;32,35;26,11;18,54;;;;;;;;;
HSPB1;167,03;134,52;164,15;128,86;253,83;327,93;;;;;;;;;
I_960122;152,51;107,73;113,73;75,98;80,84;96,20;;;;;;;;;
DJ742C19,2;69,90;108,57;79,59;77,60;56,24;20,37;;;;;;;;;
FUT8;106,91;32,65;14,49;24,40;29,61;18,69;;;;;;;;;
ACTA2;174,17;146,72;155,40;79,02;215,95;295,11;;;;;;;;;
CCNA2;61,27;48,66;38,33;47,42;27,61;20,74;;;;;;;;;
FLJ20436;61,08;135,48;104,62;127,79;111,95;98,24;;;;;;;;;
C1S;65,52;123,48;140,79;190,14;101,52;79,65;;;;;;;;;
POLR2B;77,79;71,30;45,97;99,37;70,78;69,03;;;;;;;;;
ADK;82,26;93,47;55,09;35,60;23,02;31,72;;;;;;;;;
FLJ11116;63,79;42,70;54,17;98,46;87,39;73,54;;;;;;;;;
ADAM12;68,46;60,25;29,89;17,70;22,03;13,42;;;;;;;;;
NDUFB2;57,74;125,23;107,83;146,99;108,74;120,74;;;;;;;;;
NUDT1;108,05;137,36;133,33;76,24;55,91;51,72;;;;;;;;;
PDP;86,71;94,12;98,72;105,77;170,37;220,58;;;;;;;;;
PMAIP1;260,93;1137,78;444,20;249,01;225,83;206,78;;;;;;;;;
MELK;51,98;26,81;12,39;28,66;22,36;10,46;;;;;;;;;
COPB;70,14;54,06;44,04;129,39;114,85;86,87;;;;;;;;;
FOXC2;79,21;99,63;24,46;30,67;37,00;26,24;;;;;;;;;
EXT1;87,09;19,09;21,75;26,74;29,55;27,81;;;;;;;;;
PMAIP1;258,88;1243,19;461,82;249,53;221,95;207,34;;;;;;;;;
FLJ22415;106,76;76,01;47,29;42,31;48,28;47,95;;;;;;;;;
FLJ20752;82,12;200,13;164,50;156,54;98,31;78,26;;;;;;;;;
ITGB1;47,26;87,20;70,79;46,06;27,74;33,21;;;;;;;;;
SMC2L1;49,17;62,13;24,86;52,62;37,93;20,38;;;;;;;;;
RANBP2;88,57;40,91;57,96;129,39;122,02;83,77;;;;;;;;;
dJ55C23,6;102,60;101,25;87,24;191,50;173,33;142,55;;;;;;;;;
IER3;324,16;202,01;43,06;82,54;92,78;136,25;;;;;;;;;
PMPCB;69,64;70,90;37,53;111,18;93,58;74,54;;;;;;;;;
I_957301;40,80;110,07;58,28;92,39;58,41;30,84;;;;;;;;;
FLJ10983;56,14;75,86;47,84;137,43;116,55;82,53;;;;;;;;;
I_932383;98,95;43,07;57,38;35,43;43,91;53,62;;;;;;;;;
I_928877;170,74;126,43;143,83;108,02;695,97;367,08;;;;;;;;;
PLOD2;58,06;58,39;41,95;34,55;22,78;14,01;;;;;;;;;
H2BFH;138,80;132,70;147,17;62,51;122,40;179,20;;;;;;;;;
CAC-1;93,66;145,30;128,75;93,65;63,13;43,27;;;;;;;;;
H2AFP;119,26;142,24;143,10;122,72;82,68;314,80;;;;;;;;;
GPNMB;88,82;114,33;130,54;181,71;80,16;52,98;;;;;;;;;
EGR3;364,50;266,88;132,99;117,30;77,60;105,57;;;;;;;;;
CCNA2;65,12;44,67;37,65;47,34;32,39;17,06;;;;;;;;;
RAB31;108,64;77,83;32,78;33,65;38,88;45,16;;;;;;;;;
TMSNB;39,18;132,14;99,33;98,87;53,96;32,55;;;;;;;;;
DLG1;61,53;29,34;16,40;27,20;32,88;21,37;;;;;;;;;
KIAA0997;93,75;455,98;120,72;84,85;85,14;77,31;;;;;;;;;
H2AFA;111,59;107,20;138,26;79,20;131,41;221,10;;;;;;;;;
FLJ10652;69,37;123,59;99,04;155,44;146,15;112,99;;;;;;;;;
RRP40;72,34;52,72;48,41;92,69;86,11;62,18;;;;;;;;;
FLJ10156;77,83;111,22;67,29;61,82;50,09;24,87;;;;;;;;;
PBX3;75,26;29,79;28,29;27,58;40,87;29,41;;;;;;;;;
C1orf24;125,55;87,49;90,60;41,90;52,58;38,74;;;;;;;;;
PDZ-GEF1;54,00;18,28;30,14;67,66;59,97;32,65;;;;;;;;;
KIAA0750;147,68;75,06;45,28;39,46;66,11;56,65;;;;;;;;;
HYPK;203,85;193,72;201,29;136,79;222,61;268,09;;;;;;;;;
NOTCH2;120,27;52,35;27,90;40,47;55,00;31,15;;;;;;;;;
I_957873;81,72;183,28;149,91;179,46;117,71;111,95;;;;;;;;;
I_943969;78,92;78,26;29,86;64,55;75,96;52,78;;;;;;;;;
MDM1;70,92;93,34;100,15;134,01;75,87;55,56;;;;;;;;;
COL13A1;54,84;72,07;27,30;15,18;13,13;11,37;;;;;;;;;
TMSNB;42,50;123,00;81,54;99,80;54,04;31,34;;;;;;;;;
OPA1;83,23;54,25;26,06;63,77;50,15;44,29;;;;;;;;;
PMAIP1;275,88;1180,74;462,63;242,97;212,31;243,37;;;;;;;;;
LOC51319;87,13;76,62;48,37;24,37;43,72;29,63;;;;;;;;;
ELL2;58,10;35,69;34,30;77,42;91,78;75,27;;;;;;;;;
GRB14;84,59;98,90;44,22;45,12;62,71;37,36;;;;;;;;;
CAMLG;101,82;180,30;154,79;238,25;143,01;124,50;;;;;;;;;
LOC51182;55,80;81,55;45,19;87,08;50,76;32,05;;;;;;;;;
CCT2;87,63;113,82;51,56;103,36;115,48;77,81;;;;;;;;;
PMAIP1;261,59;1192,49;412,76;255,67;215,30;217,32;;;;;;;;;
COL13A1;57,32;71,35;26,92;14,60;13,75;11,10;;;;;;;;;
H2AFL;109,43;119,48;102,25;83,68;247,97;461,78;;;;;;;;;
I_960077;120,64;114,46;40,65;49,57;67,46;82,49;;;;;;;;;
BTG1;139,83;238,04;177,73;171,99;249,04;313,12;;;;;;;;;
VATI;171,25;116,50;171,65;154,17;215,51;231,11;;;;;;;;;
I_929113;94,09;100,98;135,23;220,55;377,02;278,78;;;;;;;;;
ERP70;102,73;122,15;158,39;88,10;63,28;46,32;;;;;;;;;
DEK;50,57;43,53;17,99;56,91;41,92;22,64;;;;;;;;;
MRPL24;151,39;130,53;117,85;74,80;103,08;127,01;;;;;;;;;
NPC1;138,41;72,19;61,89;61,73;89,31;77,41;;;;;;;;;
I_957454;74,33;115,67;108,35;63,40;43,92;36,14;;;;;;;;;
TMSNB;39,77;122,38;85,42;96,91;54,93;31,39;;;;;;;;;
PBEF;76,19;40,35;17,86;53,76;81,82;68,62;;;;;;;;;
I_959498;117,64;51,00;92,40;292,95;142,63;256,51;;;;;;;;;
RBMS1;102,82;29,05;29,56;51,22;45,47;48,86;;;;;;;;;
LXN;52,91;86,70;67,45;202,02;122,75;134,49;;;;;;;;;
CTNNAL1;76,84;90,06;28,94;37,72;50,31;41,08;;;;;;;;;
PMAIP1;258,28;1124,13;476,49;245,95;217,35;207,84;;;;;;;;;
I_1000171;86,19;247,49;323,26;275,57;157,51;131,27;;;;;;;;;
STCH;76,86;132,39;114,05;153,64;87,13;75,90;;;;;;;;;
RTVP1;49,25;90,05;61,63;48,03;37,11;21,73;;;;;;;;;
LOC152217;107,82;381,62;270,87;154,69;128,16;140,06;;;;;;;;;
COL6A3;99,75;61,54;53,21;33,60;28,19;30,03;;;;;;;;;
SCYA2;167,02;156,12;21,22;66,01;50,70;26,10;;;;;;;;;
ZNF179;115,10;93,78;136,13;285,14;234,62;250,82;;;;;;;;;
CDC45L;62,39;92,46;45,69;73,13;43,94;18,56;;;;;;;;;
SLC16A2;96,37;68,94;64,65;55,15;44,17;29,23;;;;;;;;;
ASS;177,45;149,91;145,48;90,61;141,25;178,29;;;;;;;;;
LOC51053;56,93;149,75;73,77;114,76;61,39;33,45;;;;;;;;;
I_1000604;142,43;92,76;57,98;99,93;141,77;139,94;;;;;;;;;
CREG;64,06;123,47;105,34;119,11;71,03;65,23;;;;;;;;;
DKFZp434E2220;50,47;79,85;76,50;163,33;123,82;76,40;;;;;;;;;
SB52;62,49;97,93;83,71;120,17;73,90;54,01;;;;;;;;;
KPNA2;100,25;61,76;36,71;42,67;36,35;28,12;;;;;;;;;
SCYA3L1;226,87;155,11;71,81;59,69;84,09;64,87;;;;;;;;;
CD59;62,38;88,08;59,51;70,72;46,99;29,38;;;;;;;;;
RAB3GAP;79,49;36,54;32,48;87,19;88,93;75,18;;;;;;;;;
PKIB;69,00;95,81;40,43;43,70;38,87;29,27;;;;;;;;;
FLJ20419;110,03;40,44;50,39;76,09;100,26;82,55;;;;;;;;;
FLJ21919;127,32;64,11;44,70;92,88;115,57;104,60;;;;;;;;;
MPP6;108,65;61,50;55,49;54,69;80,65;59,39;;;;;;;;;
WDR11;60,11;90,15;60,96;115,68;91,52;73,12;;;;;;;;;
UROD;97,03;155,28;186,49;231,92;186,17;164,55;;;;;;;;;
HK1;121,78;56,53;30,93;49,78;55,19;53,56;;;;;;;;;
CPSF3;110,00;76,90;38,80;89,82;98,24;91,51;;;;;;;;;
I_959398;68,67;51,76;88,03;203,44;168,71;140,19;;;;;;;;;
FRSB;136,77;100,63;64,15;51,69;75,82;69,03;;;;;;;;;
CHAF1B;93,16;78,11;65,62;114,82;74,37;41,33;;;;;;;;;
PMAIP1;291,70;1161,13;491,84;246,41;214,58;204,12;;;;;;;;;
KIAA0182;107,58;39,82;89,17;186,56;146,01;146,27;;;;;;;;;
I_928393;29,11;111,68;77,86;128,56;114,16;76,15;;;;;;;;;
CAPN2;75,93;69,48;35,87;28,50;48,36;43,85;;;;;;;;;
I_960328;96,71;400,03;232,46;158,69;157,74;190,53;;;;;;;;;
PDLIM1;106,05;75,70;71,57;89,24;137,57;120,12;;;;;;;;;
KIAA0210;82,12;92,38;53,01;20,76;35,32;17,40;;;;;;;;;
MRPS2;207,90;188,47;218,19;114,62;143,54;126,04;;;;;;;;;
COL13A1;56,33;69,78;26,58;13,10;13,35;10,58;;;;;;;;;
APEH;110,63;126,91;54,47;50,60;79,62;78,22;;;;;;;;;
GOLGA3;107,97;66,70;41,43;62,79;68,86;61,35;;;;;;;;;
VBP1;64,37;141,82;65,60;85,14;59,35;54,44;;;;;;;;;
ARHE;33,59;129,10;76,27;76,80;126,55;91,48;;;;;;;;;
TAP1;176,35;170,41;287,50;286,85;437,06;362,06;;;;;;;;;
KIAA0101;48,94;97,89;48,34;47,99;37,27;14,96;;;;;;;;;
COL13A1;56,68;71,68;27,57;16,05;13,96;11,31;;;;;;;;;
HARSL;84,49;65,64;110,97;218,28;115,72;114,72;;;;;;;;;
CHAF1B;84,12;80,86;61,93;115,16;72,86;40,45;;;;;;;;;
I_931921;91,25;83,74;109,76;171,97;129,51;101,61;;;;;;;;;
CLECSF2;30,55;66,29;69,06;129,40;63,71;63,99;;;;;;;;;
HBS1L;84,59;100,09;61,84;54,93;67,51;65,18;;;;;;;;;
MGC12335;123,92;172,31;80,35;55,87;84,36;56,78;;;;;;;;;
CHAF1B;91,96;83,63;63,81;118,00;72,28;41,12;;;;;;;;;
RACGAP1;60,40;29,16;23,00;47,58;32,71;15,27;;;;;;;;;
I_963892;101,44;100,95;58,45;42,18;52,73;31,89;;;;;;;;;
AK1;111,61;126,24;157,14;177,74;189,92;210,20;;;;;;;;;
LMO2;51,47;53,16;42,87;115,03;57,60;49,73;;;;;;;;;
TMSNB;45,05;131,61;87,48;97,71;52,79;33,60;;;;;;;;;
SSA1;93,42;219,74;360,54;287,07;179,43;135,73;;;;;;;;;
LIN-7B;89,32;115,95;95,48;145,48;112,12;100,83;;;;;;;;;
DBI;63,70;142,92;117,62;97,33;59,63;64,56;;;;;;;;;
RMP;103,89;84,28;48,35;53,92;71,71;63,42;;;;;;;;;
TBC1D2;94,34;45,39;76,92;105,00;160,46;146,53;;;;;;;;;
SPP1;81,97;150,23;152,80;119,83;151,99;183,47;;;;;;;;;
CHAF1B;96,73;81,79;63,70;113,98;68,44;38,88;;;;;;;;;
PLU-1;47,17;43,88;66,30;117,04;123,39;111,33;;;;;;;;;
NUMB;60,21;17,68;19,08;39,46;38,35;35,16;;;;;;;;;
MGC5254;51,42;47,66;33,09;77,12;56,23;22,28;;;;;;;;;
MT1F;98,21;128,25;127,43;44,86;78,89;70,93;;;;;;;;;
ZNF217;46,79;80,26;89,03;144,36;166,47;164,82;;;;;;;;;
LMO2;48,64;48,98;40,47;115,77;57,88;50,07;;;;;;;;;
ADE2H1;68,78;96,89;49,82;51,44;46,84;33,71;;;;;;;;;
I_960150;97,23;83,86;87,86;57,55;73,80;92,44;;;;;;;;;
PRKCI;72,94;48,44;41,35;105,76;99,82;88,44;;;;;;;;;
I_943976;105,56;102,05;84,86;58,55;63,27;80,58;;;;;;;;;
COL13A1;57,21;72,60;29,00;14,39;12,37;9,51;;;;;;;;;
CRIM1;101,93;75,23;45,28;26,69;27,48;24,49;;;;;;;;;
DCLRE1A;65,36;113,07;98,59;151,92;73,01;48,71;;;;;;;;;
TBL1Y;165,76;60,13;27,66;30,70;64,57;47,14;;;;;;;;;
FLJ10134;37,38;35,89;29,68;41,45;30,33;20,46;;;;;;;;;
PROS1;38,97;126,42;85,65;101,05;61,88;45,10;;;;;;;;;
ID3;190,16;191,93;77,32;248,86;78,64;69,97;;;;;;;;;
SLC16A1;64,48;58,42;66,35;102,89;61,17;51,70;;;;;;;;;
GTF3C3;86,98;81,71;58,58;131,79;125,81;102,30;;;;;;;;;
ERCC1;164,53;118,25;109,05;90,84;170,38;254,15;;;;;;;;;
SFRS3;75,29;78,54;68,41;76,15;56,41;36,97;;;;;;;;;
FLJ20421;59,52;71,81;51,48;74,13;52,45;30,24;;;;;;;;;
PABPC1;141,75;92,69;70,84;84,51;114,21;108,50;;;;;;;;;
LOC51246;134,24;100,11;125,91;168,75;242,21;201,09;;;;;;;;;
DLX2;253,59;243,25;113,73;163,96;185,42;121,44;;;;;;;;;
PTPRM;47,87;68,51;37,88;37,09;30,89;13,18;;;;;;;;;
LMO2;50,89;51,02;41,74;114,08;59,61;50,03;;;;;;;;;
FLJ10813;80,39;60,99;62,69;140,29;103,58;85,68;;;;;;;;;
NRGN;124,19;118,59;118,22;72,48;66,99;56,92;;;;;;;;;
SLC20A1;106,14;45,02;32,21;52,18;66,49;62,99;;;;;;;;;
SLBP;62,81;107,26;66,11;128,33;71,27;43,39;;;;;;;;;
PRDX5;121,34;118,88;151,61;174,46;210,81;335,55;;;;;;;;;
CGI-203;84,81;104,07;69,21;50,09;44,46;30,99;;;;;;;;;
SREBF1;102,34;83,88;132,83;201,24;100,90;93,30;;;;;;;;;
IGFBP7;20,18;97,23;54,18;68,91;49,17;36,50;;;;;;;;;
I_939938;28,88;29,54;32,99;104,87;43,06;32,40;;;;;;;;;
DDX3;87,93;56,08;37,74;88,30;78,08;63,72;;;;;;;;;
MSL3L1;63,01;152,08;105,42;129,72;79,05;67,71;;;;;;;;;
AREG;54,42;40,39;57,05;22,35;78,21;50,91;;;;;;;;;
COL13A1;57,46;72,94;27,33;15,16;14,00;9,91;;;;;;;;;
ARHE;35,22;134,95;81,97;76,61;132,26;93,63;;;;;;;;;
RAB6KIFL;76,31;48,67;33,09;46,71;31,15;14,03;;;;;;;;;
TRIP3;51,05;122,12;98,65;137,67;78,34;52,84;;;;;;;;;
I_966399;40,00;75,77;58,70;128,49;73,88;52,74;;;;;;;;;
LOC51071;69,26;68,56;21,45;47,67;42,12;30,00;;;;;;;;;
I_1100019;78,24;47,09;26,02;59,95;52,64;39,35;;;;;;;;;
PSK-1;149,68;102,03;145,69;150,48;149,62;171,16;;;;;;;;;
PSMA3;70,09;112,60;50,66;101,92;66,44;53,47;;;;;;;;;
H2AFI;134,71;151,22;162,72;147,03;162,71;513,39;;;;;;;;;
FLJ10156;77,84;111,26;65,94;61,54;48,57;23,03;;;;;;;;;
LSM3;58,53;122,44;81,31;86,66;46,12;37,77;;;;;;;;;
I_1000570;96,24;108,94;121,64;190,93;95,30;175,34;;;;;;;;;
I_957067;54,09;94,88;90,24;164,16;104,88;75,77;;;;;;;;;
Hs,37616;74,34;142,57;100,17;91,82;52,97;46,86;;;;;;;;;
FLJ20354;62,98;45,73;29,03;30,08;22,69;10,19;;;;;;;;;
G0S2;86,45;133,57;29,99;52,77;70,63;47,30;;;;;;;;;
H2BFS;125,09;93,90;98,51;58,06;98,55;194,31;;;;;;;;;
UBA2;97,16;52,85;33,82;100,27;106,68;74,05;;;;;;;;;
MDS010;88,97;173,13;161,16;288,98;172,23;162,34;;;;;;;;;
I_1100555;59,84;88,00;70,66;233,96;150,55;145,06;;;;;;;;;
FLJ12770;120,10;63,65;83,59;139,97;112,78;106,51;;;;;;;;;
RAMP;76,83;46,42;51,55;89,28;73,30;32,08;;;;;;;;;
TTC3;95,41;98,96;60,52;55,67;49,83;41,62;;;;;;;;;
ADNP;76,29;61,63;94,71;139,98;157,68;120,49;;;;;;;;;
DUT;64,27;118,60;53,01;87,40;65,46;52,19;;;;;;;;;
TRIP13;81,39;92,81;55,63;55,79;45,45;19,65;;;;;;;;;
MO25;66,99;37,73;38,05;84,38;72,86;45,29;;;;;;;;;
HMGIY;186,06;106,15;161,80;39,73;45,02;70,05;;;;;;;;;
FLJ20364;35,64;56,80;27,69;60,84;39,71;28,95;;;;;;;;;
PMAIP1;268,18;1178,61;437,53;237,12;222,02;192,14;;;;;;;;;
I_957301;41,44;117,45;59,85;91,25;59,01;27,72;;;;;;;;;
RPN2;69,25;97,86;103,67;110,01;68,18;55,96;;;;;;;;;
MGC5528;69,49;65,48;45,82;111,38;79,58;46,41;;;;;;;;;
DLL1;98,43;85,38;47,59;29,68;45,58;38,44;;;;;;;;;
HRY;546,59;209,29;106,86;120,98;145,54;136,29;;;;;;;;;
