Taxonomic_Group_0;Taxonomic_Group;0;1;2;3
Veillonella_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella";2150;1322;1305;1059
Fusobacterium_0;"k__Bacteria;p__Fusobacteria;c__Fusobacteria_(class);o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium";801;858;613;657
Leptotrichia_0;"k__Bacteria;p__Fusobacteria;c__Fusobacteria_(class);o__Fusobacteriales;f__Fusobacteriaceae;g__Leptotrichia";402;526;303;269
Bradyrhizobium_0;"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium";0;0;1;0
_9;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__";0;0;1;0
Aquabacterium_0;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Aquabacterium";0;0;1;0
Tepidimonas_0;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Tepidimonas";0;0;1;0
Azohydromonas_0;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Azohydromonas";0;1;0;0
Schlegelella_0;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Schlegelella";0;1;0;1
_10;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__";0;1;0;1
Neisseria_0;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria";277;384;259;322
Campylobacter_0;"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter";169;151;136;225
Cardiobacterium_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium";1;0;0;0
Pseudomonas_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Pseudomonadaceae;g__Pseudomonas";0;1;4;0
_11;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__";1285;640;1365;1084
Actinobacillus_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus";1;2;1;2
Gallibacterium_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Gallibacterium";4;0;1;1
Haemophilus_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus";515;363;830;556
Acinetobacter_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter";0;1;0;0
_12;"k__Bacteria;p__SR1;c__;o__;f__;g__";1;0;0;0
Treponema_0;"k__Bacteria;p__Spirochaetes;c__Spirochaetes_(class);o__Spirochaetales;f__Spirochaetaceae;g__Treponema";4;23;13;5
TG5_0;"k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__TG5";1;2;2;1
_13;"k__Bacteria;p__TM7;c__TM7-3;o__EW055;f__;g__";7;2;0;0
Bulleidia_0;"k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia";30;17;5;8
Mycoplasma_0;"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma";7;23;10;3
